ID	PAYMENT_METHOD	SEC_SCAN	SEC_PAY
88	iD	3.574	3.867
89	PayPay	1.814	13.161
90	PayPay	6.541	4.345
91	Cash	1.632	4.634
92	FeliCa	3.211	7.356
93	FeliCa	1.261	6.424
94	iD	2.185	8.299
95	Cash	8.412	21.46
96	PayPay	2.458	6.768
97	Cash	6.895	3.485
99	Cash	5.718	8.305
100	Cash	12.049	10.265
102	PayPay	2.303	9.122
103	Cash	21.905	16.622
104	PayPay	8.565	3.974
105	iD	3.961	8
106	Cash	13.52	8.465
107	Cash	5.153	10.182
108	iD	12.247	2.814
109	PayPay	7.008	17.614
110	PayPay	8.663	8.902
111	iD	8.397	4.985
112	Cash	1.604	4.754
113	Cash	7.558	13.297
114	Cash	6.56	15.833
115	Cash	8.147	6.17
116	Cash	2.22	14.137
117	Cash	1.723	5.95
118	Cash	7.192	12.091
119	Cash	5.214	9.789
120	Cash	13.561	15.938
121	Cash	7.906	24.665
122	Cash	8.641	5.949
124	Cash	3.741	18.067
125	FeliCa	3.879	4.734
126	Cash	3.009	33.234
127	FeliCa	6.242	4.21
128	Cash	4.197	11.569
129	Cash	5.754	13.84
130	Cash	7.528	23.279
131	Credit	6.749	7.986
132	Cash	3.939	14.249
133	Cash	5.145	9.507
135	Cash	8.772	6.839
136	Cash	2.064	12.351
137	Cash	6.283	8.797
138	Cash	6.283	10.349
139	Cash	3.468	7.043
140	Cash	1.404	18.18
141	FeliCa	11.038	5.86
142	Cash	4.596	6.811
143	iD	4.01	2.24
144	iD	2.176	6.389
145	Cash	5.682	19.611
146	Cash	5.65	13.242
147	Cash	6.196	19.588
148	Cash	15.975	3.476
149	PayPay	3.431	5.761
150	Cash	1.052	31.179
151	Cash	7.578	9.433
152	FeliCa	3.52	2.063
153	PayPay	3.114	6.561
154	Cash	18.99	15.713
155	iD	3.09	9.412
156	Cash	4.474	10.398
157	Cash	8.138	8.269
158	iD	1.792	3.318
159	Cash	4.657	15.497
160	Cash	2.648	12.185
161	Cash	10.507	5.622
162	Cash	2.233	22.008
163	Cash	4.709	22.568
164	PayPay	3.697	4.668
165	Cash	2.66	12.722
166	Cash	6.05	27.385
167	Cash	3.745	10.184
168	Cash	4.529	4.113
169	Credit	2.604	25.587
170	Cash	3.146	13.316
171	Cash	5.195	16.866
172	Cash	7.885	4.915
173	Cash	4.92	26.287
174	Cash	3.186	5.909
175	PayPay	5.675	9.967
176	Cash	1.648	12.057
177	Cash	4.732	12.951
178	Cash	4.389	12.926
179	Cash	2.703	7.113
180	Cash	2.09	12.978
181	FeliCa	5.504	4.299
182	iD	2.299	6.963
183	Cash	2.437	17.017
184	PayPay	2.33	5.2
185	Cash	3.808	10.514
186	FeliCa	3.763	7.206
187	iD	3.84	6.002
188	Cash	2.282	8.772
189	Cash	14.583	15.394
190	Cash	5.87	8.85
191	Cash	2.113	8.905
192	Cash	2.897	7.6
193	iD	5.577	10.28
194	Cash	3.194	8.945
195	Cash	3.351	13.413
196	Cash	8.379	6.92
197	Cash	5.108	28.116
198	Cash	1.529	10.243
199	Cash	3.506	12.146
200	Cash	6.519	11.058
201	iD	2.75	3.092
202	iD	2.31	11.564
203	FeliCa	6.993	6.409
204	Cash	2.268	18.197
205	Cash	2.121	9.02
206	Cash	6.526	15.708
208	Cash	3.558	15.155
209	Cash	3.389	18.4
210	FeliCa	4.32	5.914
211	Cash	1.994	6.785
212	Cash	2.802	15.225
213	PayPay	6.864	7.768
214	Cash	2.912	13.687
215	Cash	30.445	28.697
216	Cash	4.561	17.943
217	Cash	5.725	14.165
218	iD	3.677	7.78
219	Cash	4.012	15.881
221	Cash	8.327	9.753
222	Cash	2.299	16.632
223	FeliCa	4.947	5.213
225	FeliCa	3.534	1.801
226	Cash	3.79	20.261
227	Cash	4.223	13.912
228	Cash	4.223	15.254
229	FeliCa	4.43	1.287
231	iD	4.717	5.261
232	Cash	2.536	18.82
233	FeliCa	2.377	1.974
234	Cash	1.905	21.914
236	Cash	4.257	17.461
237	Cash	5.815	12.123
238	Cash	5.816	18.951
239	iD	5.927	17.239
240	Cash	5.267	10.896
242	Cash	3.45	12.608
243	Cash	3.839	5.089
244	iD	1.751	10.852
245	PayPay	5.01	4.149
246	Cash	4.392	13.265
247	Cash	2.342	25.62
248	PayPay	5.131	14.587
249	PayPay	5.131	16.043
250	Cash	2.017	13.334
251	iD	10.336	4.997
252	Cash	6.968	9.164
253	FeliCa	3.601	7.49
254	iD	9.916	4.192
255	Cash	2.068	9.363
256	FeliCa	8.779	5.045
258	PayPay	4.138	10.123
259	FeliCa	5.106	3.374
260	Cash	9.506	27.3
261	Cash	4.6	16.461
262	Cash	8.421	11.754
263	Cash	6.686	10.093
264	Cash	3.55	26.868
265	FeliCa	3.598	4.513
266	iD	4.183	1.82
268	Cash	27.274	10.444
269	iD	3.098	6.043
270	Cash	7.655	15.424
271	PayPay	2.97	14.175
272	Cash	2.826	18.167
273	Cash	4.489	12.737
274	Cash	7.915	7.887
275	iD	5.554	9.644
276	Cash	1.579	12.692
277	Cash	4.534	18.096
278	Cash	4.784	20.913
279	iD	4.899	5.236
280	PayPay	1.766	7.271
281	iD	2.326	21.076
282	Cash	3.338	12.246
283	iD	2.15	21.071
285	Cash	7.508	12.575
286	Cash	2.969	9.499
287	Cash	4.005	14.453
288	Cash	4.282	17.619
289	PayPay	4.03	9.333
290	PayPay	5.197	11.18
291	Cash	3.343	18.711
292	PayPay	5.092	17.022
293	Cash	2.797	26.621
294	iD	4.504	6.858
295	Cash	8.538	16.924
296	FeliCa	3.51	3.628
297	iD	5.661	8.056
298	iD	1.589	4.895
299	PayPay	2.888	7.662
300	Cash	6.454	15.716
301	PayPay	4.545	18.206
302	PayPay	2.787	30.89
303	Cash	12.8	47.516
304	Cash	5.96	15.367
305	PayPay	2.906	7.988
306	Cash	4.433	21.769
307	iD	8.17	14.182
308	iD	8.17	15.628
309	Cash	2.264	15.368
310	iD	3.201	9.774
311	Cash	5.405	21.936
312	Cash	6.191	15.178
313	PayPay	7.771	6.15
314	iD	2.78	7.824
315	Cash	2.989	17.758
316	Cash	12.178	9.745
317	Cash	2.975	5.216
318	Cash	3.438	18.311
319	Cash	6.741	21.044
320	Cash	5.188	12.098
321	Cash	5.615	23.753
322	Cash	2.304	7.786
323	Cash	11.315	13.35
324	Cash	4.761	12.729
325	PayPay	8.471	4.92
326	Cash	2.725	21.063
327	iD	3.311	7.412
328	Cash	3.638	11.987
329	Cash	6.502	13.695
330	FeliCa	1.611	4.637
331	Cash	3.471	12.824
332	iD	2.64	4.883
333	Cash	2.087	20.755
334	Cash	3.43	12.225
335	Cash	4.344	8.39
336	FeliCa	8.02	12.967
337	Cash	5.628	8.678
338	Cash	2.869	8.705
341	PayPay	1.346	4.983
342	Cash	9.119	10.693
343	PayPay	3.022	11.337
344	Cash	3.389	35.39
345	Cash	8.403	9.901
346	iD	1.981	5.779
347	Cash	7.371	20.236
348	FeliCa	2.458	4.164
349	Cash	4.429	16.767
350	FeliCa	3.388	2.937
352	Cash	2.392	13.194
353	FeliCa	6.759	8.782
354	PayPay	4.672	4.666
355	Cash	1.705	19.023
356	iD	7.47	4.6
357	PayPay	2.966	4.702
358	Cash	4.77	17.539
359	iD	11.058	3.897
360	iD	6.901	7.971
361	Cash	6.224	13.797
362	Cash	7.338	20.301
363	FeliCa	2.46	2.902
364	PayPay	5.647	8.726
365	Cash	8.879	11.181
366	Cash	13.427	10.808
367	Cash	2.805	14.458
368	PayPay	27.202	16.317
369	Cash	3.478	12.041
370	iD	11.058	3.897
371	iD	4.483	11.925
373	Cash	3.142	21.211
374	Cash	3.142	22.406
375	Cash	5.736	21.469
376	Cash	4.86	19.591
377	FeliCa	2.171	4.517
378	Cash	6.055	18.894
379	Cash	2.279	25.056
380	Cash	2.279	25.887
381	Cash	3.757	8.309
382	Cash	2.901	13.337
383	FeliCa	3.579	2.844
385	Cash	3.003	32.758
386	Cash	6.78	24.872
387	Cash	4.991	14.976
388	PayPay	3.944	13.662
389	Cash	6.78	26.228
390	Cash	3.078	19.019
391	Cash	2.688	10.422
392	Cash	2.859	18.437
393	Cash	2.808	8.854
394	Cash	2.059	7.098
395	Cash	1.979	12.128
396	Cash	3.956	13.877
397	PayPay	2.985	9.846
399	Cash	5.032	15.04
400	Cash	4.766	24.91
401	Cash	2.143	13.881
402	Cash	2.143	15.068
403	Cash	6.978	17.057
404	Cash	12.402	25.025
405	Cash	6.913	27.06
406	Cash	3.626	12.434
407	Cash	2.064	19.656
406	Cash	6.475	19.013
407	Cash	2.621	16.787
408	Cash	2.539	11.988
409	Cash	5.412	14.866
410	Cash	2.179	21.579
411	Cash	3.636	8.188
412	Cash	5.34	11.185
414	Cash	5.086	16.663
415	Cash	16.524	9.6
416	Cash	3.113	9.501
417	Cash	4.189	19.814
418	FeliCa	3.982	3.288
419	Cash	6.81	11.382
420	Cash	6.958	18.268
421	Cash	9.548	15.442
422	Cash	4.206	24.748
423	iD	5.827	2.807
424	Cash	6.942	8.379
427	PayPay	2.988	8.425
428	PayPay	2.229	6.127
429	Cash	5.835	21.018
430	Cash	5.771	23.846
431	Cash	3.697	15.774
432	Cash	10.9	19.079
433	FeliCa	3.886	9.62
434	Cash	9.259	9.518
435	Cash	10.532	14.399
437	Cash	2.674	18.367
439	Cash	8.614	8.852
440	Cash	9.524	13.017
441	Cash	4.213	10.406
442	iD	5.018	4.863
443	Cash	3.76	9.915
444	FeliCa	2.531	7.34
445	Cash	2.415	17.304
446	Cash	4.42	22.237
447	Cash	15.615	20.171
448	Cash	30.116	10.507
449	PayPay	7.221	10.62
450	Cash	4.569	32.23
451	Cash	4.785	13.689
452	Cash	6.482	24.053
453	Cash	3.123	14.876
454	Cash	11.65	14.965
455	Cash	9.752	28.529
456	Cash	6.152	26.886
457	Cash	15.11	14.35
458	FeliCa	6.323	5.951
460	PayPay	6.788	12.801
461	Cash	2.831	17.142
462	Cash	10.333	19.094
463	Cash	10.531	12.002
464	Cash	2.392	10.686
465	Cash	2.763	23.199
466	Cash	13.254	30.929
468	Credit	7.508	25.06
469	Cash	3.438	14.03
470	Cash	2.098	13.46
471	Cash	2.538	16.574
472	iD	7.417	13.538
